Timestamp,Street,Event,Details
2025-10-12T18:41:39.183498,,Street Fail," Corkill Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.184565,,Street Fail," Corporal Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.185629,,Street Fail," Cosgrave Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.186662,,Street Fail," Courage Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.187668,,Street Fail," Crestview Rise, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.189688,,Street Fail," Creswell Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.189688,,Street Fail," Croskery Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.192138,,Street Fail," Darley Way, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.192138,,Street Fail," Dignity Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.194673,,Street Fail," Dittmer Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.195681,,Street Fail," Don Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.196688,,Street Fail," Duke Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.197694,,Street Fail," Edmund Hillary Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.200150,,Street Fail," Emmerdale Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.201157,,Street Fail," Ettrick Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.202163,,Street Fail," Evans Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.203670,,Street Fail," Fairdale Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.204740,,Street Fail," Farmland Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.205743,,Street Fail," Fermi Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.207790,,Street Fail," Fernaig Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.209005,,Street Fail," Frazen Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.210034,,Street Fail," Fredrick Hanson Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.211041,,Street Fail," Gallantry Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.212043,,Street Fail," Gills Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.213550,,Street Fail," Glenburn Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.215642,,Street Fail," Green Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.216688,,Street Fail," Hapai Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.217695,,Street Fail," Harper Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.218701,,Street Fail," Heard Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.220714,,Street Fail," Heathdale Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.221721,,Street Fail," Heihei Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.221721,,Street Fail," Hill Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.224291,,Street Fail," Hoia Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.225751,,Street Fail," Honour Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.226758,,Street Fail," Huahua Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.227764,,Street Fail," Huritao Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.229221,,Street Fail," Imjin Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.230227,,Street Fail," Infantry Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.231233,,Street Fail," Ingram Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.232239,,Street Fail," Jack Farrell Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.233748,,Street Fail," Ohiwa Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.234756,,Street Fail," Kaipara Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.236769,,Street Fail," Kapuarangi Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.237775,,Street Fail," Keeney Court, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.238781,,Street Fail," Kerry Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.240853,,Street Fail," Kirikiri Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.241857,,Street Fail," Kokako Rise, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.243364,,Street Fail," Korakora Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.244433,,Street Fail," Kukutai Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.245614,,Street Fail," Lamborn Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.247652,,Street Fail," Lansdown Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.248660,,Street Fail," Papauma Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.249695,,Street Fail," Laurie Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.251704,,Street Fail," Leadership Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.252710,,Street Fail," Liberation Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.254216,,Street Fail," Liddesdale Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.255229,,Street Fail," Lieutenant Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.256256,,Street Fail," Loris Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.258290,,Street Fail," Maadi Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.259296,,Street Fail," Mangatiti Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.260469,,Street Fail," Margaret Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.262486,,Street Fail," Margaret Williams Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.263987,,Street Fail," Markedo Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.265189,,Street Fail," Marne Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.266197,,Street Fail," Marples Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.268266,,Street Fail," Matheson Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.269296,,Street Fail," Maurice Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.270310,,Street Fail," Melgran Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.271316,,Street Fail," Menary Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.273849,,Street Fail," Mettle Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.274856,,Street Fail," Military Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.275863,,Street Fail," Millfield Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.277891,,Street Fail," Milson Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.279243,,Street Fail," Minhas Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.280250,,Street Fail," Montana Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.281256,,Street Fail," Mountbatten Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.282262,,Street Fail," Nagra Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.284804,,Street Fail," Rollerson Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.285808,,Street Fail," Nykki Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.287863,,Street Fail," John Burn Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.288896,,Street Fail," Okawa Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.289903,,Street Fail," Old Villa Way, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.292126,,Street Fail," Old Wairoa Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.292126,,Street Fail," Olympic Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.294688,,Street Fail," Ope Taua Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.295695,,Street Fail," Oregon Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.297708,,Street Fail," Orion Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.298715,,Street Fail," Osborne Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.299834,,Street Fail," O'Shannessey Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.301872,,Street Fail," Pakaraka Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.301872,,Street Fail," Lauren Grove, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.304418,,Street Fail," Papaview Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.305643,,Street Fail," Parachute Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.306667,,Street Fail," Parahau Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.308680,,Street Fail," Paretaiuru Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.309686,,Street Fail," Parker Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.310692,,Street Fail," Pasla Close, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.312058,,Street Fail," Patea Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.313565,,Street Fail," Pembrook Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.314641,,Street Fail," Pohuehue Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.316671,,Street Fail," Poruru Close, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.318692,,Street Fail," Pratt Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.319748,,Street Fail," President Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.320756,,Street Fail," Prosper Way, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.321762,,Street Fail," Pukeroa Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.323270,,Street Fail," Putiputi Way, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.325380,,Street Fail," Queen Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.326387,,Street Fail," Railway Street West, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.328397,,Street Fail," Ray Small Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.329399,,Street Fail," Tuwhare Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.331422,,Street Fail," Regiment Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.332429,,Street Fail," Renwick Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.334948,,Street Fail," Valour Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.335955,,Street Fail," Rice Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.336978,,Street Fail," Riroriro Close, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.338991,,Street Fail," Roku Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.339997,,Street Fail," Nola Dawn Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.342134,,Street Fail," Romilly Court, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.343641,,Street Fail," Ron Keat Drive, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.344711,,Street Fail," Russell Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.346892,,Street Fail," Saddleback Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.348902,,Street Fail," Settlement Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.350000,,Street Fail," Sheehan Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.352014,,Street Fail," Shepherds Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.353522,,Street Fail," Shirley Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.354591,,Street Fail," Smiths Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.356601,,Street Fail," Snell Avenue, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.358614,,Street Fail," Stitchbird Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.360626,,Street Fail," Sunburst Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.361628,,Street Fail," Sunshine Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.364137,,Street Fail," Swamp Kauri Grove, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.366202,,Street Fail," Taiaha Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.367226,,Street Fail," Tarapuke Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.369232,,Street Fail," Tauarai Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.371244,,Street Fail," Te Akitai Green, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.372250,,Street Fail," Kapuarangi Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.374762,,Street Fail," Kapuarangi Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.375769,,Street Fail," Te Aramanu Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.377773,,Street Fail," Te Kaapia Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.379249,,Street Fail," Te Rauroha Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.381311,,Street Fail," Tensing Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.382347,,Street Fail," Tiel Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.383852,,Street Fail," Tilbrook Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.385858,,Street Fail," Trentham Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.387871,,Street Fail," Troop Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.389883,,Street Fail," Tukauri Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.391124,,Street Fail," Tumu Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.392133,,Street Fail," Turehu Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.393640,,Street Fail," Recovery Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.395728,,Street Fail," Wesleydale Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.397765,,Street Fail," Valentine Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.398773,,Street Fail," Resolute Way, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.400802,,Street Fail," Vernon Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.401808,,Street Fail," Vigour Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.404365,,Street Fail," Viola Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.406388,,Street Fail," Wahine Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.407390,,Street Fail," Waitaua Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.409400,,Street Fail," Walsh Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.411412,,Street Fail," Waotapuke Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.412472,,Street Fail," Warbler Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.414671,,Street Fail," Waterview Road East, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.415678,,Street Fail," West Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.417722,,Street Fail," Wharf Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.419735,,Street Fail," Willis Road, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.420741,,Street Fail," Wilson Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.421746,,Street Fail," Wing Crescent, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.424318,,Street Fail," Winiata Terrace, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.426382,,Street Fail," Wood Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.427408,,Street Fail," Yang Place, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.429437,,Street Fail," Yarrow Lane, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.430443,,Street Fail," Awanui Rise, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.431924,,Street Fail," Berlane Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.434492,,Street Fail," Carisbrook Crescent, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.435773,,Street Fail," Crestlands Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.437789,,Street Fail," Duckworth Road, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.439801,,Street Fail," Eastburn Street, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.441123,,Street Fail," Harrier Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.442132,,Street Fail," Heketara Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.444700,,Street Fail," Holcroft Street, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.446711,,Street Fail," Kereru Rise, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.447927,,Street Fail," Kotahitanga Street, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.449979,,Street Fail," Liddy Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.450985,,Street Fail," Mcentee Street, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.451989,,Street Fail," Orpheus Place, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.454564,,Street Fail," Perkins Street, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.456594,,Street Fail," Stewart Street, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.457601,,Street Fail," Strummers Lane, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.459614,,Street Fail," Tanah Merah Drive, Red Hill, Auckland → Missing number and/or street"
2025-10-12T18:41:39.461783,,Street Fail," Union Street, Papakura, Auckland → Missing number and/or street"
2025-10-12T18:41:39.463285,,Street Fail," Arion Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.465301,,Street Fail," Earlywood Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.467297,,Street Fail," Gum Spear Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.469289,,Street Fail," Kanono Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.471283,,Street Fail," Katipo Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.472280,,Street Fail," Koroheke Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.474777,,Street Fail," Opoka Street, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.477772,,Street Fail," Takanini Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.478992,,Street Fail," Taukari Road, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.481127,,Street Fail," Tironui Station Road East, Takanini, Auckland → Missing number and/or street"
2025-10-12T18:41:39.488865,Albert Street,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.491123,Alma Crescent,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.492195,Albion Place,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.494721,Brynbela Court,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.495785,Whangamaru Way,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.499040,Alpha Street,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.500556,Alf Walker Place,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.502085,Ancroft Street,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.503600,Arahopu Place,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.505962,Aramata Road,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
2025-10-12T18:41:39.506966,Arapapa Road,Reclassify To Clean,"Status='Available', Final Status='Fail' → clean"
