Old Number,Unit,Old Street,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Status,Final Status,Latitude,Longitude,Type,Language,Notes,Other Notes,Missing Fields
9,,"Trovare Place, Golflands",,9,Trovare Place,Golflands,2013,Auckland,At Home,Pass,-36.9240424,174.905888,House,,,,
40,A,"Edendale Road, Somerville",,40/UnitA,Edendale Road,Somerville,2014,Auckland,At Home,Pass,-36.9115283,174.9292601,House,,,,
23,A,"Williams Avenue, Pakuranga",,23/UnitA,Williams Avenue,Pakuranga,2010,Auckland,At Home,Pass,-36.9109732,174.8647017,House,,,,
20,,"Felton Mathew Avenue, St Johns",,20,Felton Mathew Avenue,St Johns,1072,Auckland,At Home,Pass,-36.8719637,174.846706,House,,,,
121,5,"Riddell Road, Glendowie",,121/Unit5,Riddell Road,Glendowie,1071,Auckland,At Home,Pass,-36.861197,174.8695424,House,,,,
148,,"Bleakhouse Road, Mellons Bay",,148,Bleakhouse Road,Mellons Bay,2012,Auckland,At Home,Pass,-36.8839799,174.9248134,House,,,,
3,,"Nickleby Place, Mellons Bay",,3,Nickleby Place,Mellons Bay,2012,Auckland,At Home,Pass,-36.8833862,174.9216278,House,,,,
18,,"Charles Dickens Drive, Mellons Bay",,18,Charles Dickens Drive,Mellons Bay,2012,Auckland,At Home,Pass,-36.8829512,174.9218428,House,,,,
1,,"Jane Eyre Drive, Somerville",,1,Jane Eyre Drive,Somerville,2014,Auckland,At Home,Pass,-36.912859,174.933731,House,,,,
34,,"Eroni Clarke Close, Flat Bush",,34,Eroni Clarke Close,Flat Bush,2016,Auckland,At Home,Pass,-36.9663339,174.9049475,House,,,,
8,,"Foxley Place, Burswood",,8,Foxley Place,Burswood,2013,Auckland,At Home,Pass,-36.9210412,174.8969104,House,,,,
4,,"Kalgan Place, Burswood",,4,Kalgan Place,Burswood,2013,Auckland,At Home,Pass,-36.918839,174.8967105,House,,,,
68,,"Dalwhinnie Parade, Highland Park",,68,Dalwhinnie Parade,Highland Park,2010,Auckland,At Home,Pass,-36.90397271,174.9101455,House,,,,
32,,"Cascades Road, Pakuranga Heights",,32,Cascades Road,Pakuranga Heights,2010,Auckland,At Home,Pass,-36.9063683,174.8966008,House,,,,
47,,"Dalwhinnie Parade, Highland Park",,47,Dalwhinnie Parade,Highland Park,2010,Auckland,At Home,Pass,-36.9034084,174.911824,House,,,,
1,,"Beldon Place, Pakuranga Heights",,1,Beldon Place,Pakuranga Heights,2010,Auckland,At Home,Pass,-36.9158422,174.8934627,House,,,,
16,,"Palmcrest Grove, Highland Park",,16,Palmcrest Grove,Highland Park,2010,Auckland,At Home,Pass,-36.9029987,174.9062315,House,,,,
12,,"Beldon Place, Pakuranga Heights",,12,Beldon Place,Pakuranga Heights,2010,Auckland,At Home,Pass,-36.9158723,174.8922591,House,,,,
4,,"De Thiery Place, Pakuranga Heights",,4,De Thiery Place,Pakuranga Heights,2010,Auckland,At Home,Pass,-36.9166935,174.8934876,House,,,,
5,,"De Thiery Place, Pakuranga Heights",,5,De Thiery Place,Pakuranga Heights,2010,Auckland,At Home,Pass,-36.9164888,174.8932554,House,,,,
8,1,"Kincraig Place, Highland Park",,8/Unit1,Kincraig Place,Highland Park,2010,Auckland,At Home,Pass,-36.9042641,174.9126335,House,,,,
5,,"Eske Place, Highland Park",,5,Eske Place,Highland Park,2010,Auckland,At Home,Pass,-36.9067506,174.9076655,House,,,,
38,,"Beechdale Crescent, Pakuranga Heights",,38,Beechdale Crescent,Pakuranga Heights,2010,Auckland,At Home,Pass,-36.9123836,174.8851699,House,,,,
28,,"Burswood Drive, Burswood",,28,Burswood Drive,Burswood,2013,Auckland,At Home,Pass,-36.9254355,174.901476,House,,,,
191,,"Burswood Drive, Burswood",,191,Burswood Drive,Burswood,2013,Auckland,At Home,Pass,-36.9235835,174.8953294,House,,,,
58,,"Aberfeldy Avenue, Highland Park",,58,Aberfeldy Avenue,Highland Park,2010,Auckland,At Home,Pass,-36.9052001,174.9078364,House,,,,
176,B,"Bradbury Road, Highland Park",,176/UnitB,Bradbury Road,Highland Park,2010,Auckland,At Home,Pass,-36.9119761,174.9087493,House,,,,
74,A,"Highland Park Drive, Highland Park",,74/UnitA,Highland Park Drive,Highland Park,2010,Auckland,At Home,Pass,-36.9033719,174.9139796,House,,,,
18,,"Gibbston Crescent, Flat Bush",,18,Gibbston Crescent,Flat Bush,2016,Auckland,At Home,Pass,-36.95951345,174.929146,House,,,,
17,,"Seresin Crescent, Flat Bush",,17,Seresin Crescent,Flat Bush,2016,Auckland,At Home,Pass,-36.960121,174.9290619,House,,,,
19,,"Seresin Crescent, Flat Bush",,19,Seresin Crescent,Flat Bush,2016,Auckland,At Home,Pass,-36.9601453,174.9292188,House,,,,
2,,"Kouras Place, Flat Bush",,2,Kouras Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9604136,174.9327863,House,,,,
32,,"Killarney Drive, Flat Bush",,32,Killarney Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9715246,174.9157306,House,,,,
55,,"Paunui Street, Saint Heliers",,55,Paunui Street,Saint Heliers,1071,Auckland,At Home,Pass,-36.8540635,174.8589632,House,,,,
23,,"Kerrykeel Drive, Flat Bush",,23,Kerrykeel Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9702833,174.9165375,House,,,,
13,,"Conti Drive, Flat Bush",,13,Conti Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9672014,174.929043,House,,,,
51,,"Argento Avenue, Flat Bush",,51,Argento Avenue,Flat Bush,2016,Auckland,At Home,Pass,-36.9665389,174.9284117,House,,,,
18,,Castlefin Drive Weymouth,,18,Castlefin Drive Weymouth,Joined Boundary,,Auckland,At Home,Pass,-37.02456,174.89652,House,,,,PostalCode
8,,"Vanbrugh Place, Bucklands Beach",,8,Vanbrugh Place,Bucklands Beach,2012,Auckland,At Home,Pass,-36.8870148,174.9104929,House,,Front,,
14,,"Tipu Road, Flat Bush",,14,Tipu Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9697651,174.9322992,House,,,,
30,,"Peihinga Road, Flat Bush",,30,Peihinga Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9691853,174.9320076,House,,,,
22,,"Tripoli Road, Panmure",,22,Tripoli Road,Panmure,1072,Auckland,At Home,Pass,-36.8988987,174.8595044,House,,,,
34,,"Tripoli Road, Panmure",,34,Tripoli Road,Panmure,1072,Auckland,At Home,Pass,-36.898096,174.8602096,House,,,,
38,,"Helianthus Avenue, Flat Bush",,38,Helianthus Avenue,Flat Bush,2016,Auckland,At Home,Pass,-36.96966163,174.9221255,House,,,,
23,,"Frisken Road, Flat Bush",,23,Frisken Road,Flat Bush,2016,Auckland,At Home,Pass,-36.97358752,174.9242328,House,,,,
23,,"Nightingale Road, Flat Bush",,23,Nightingale Road,Flat Bush,2016,Auckland,At Home,Pass,-36.973906,174.9259446,House,,,,
21,,"Roysfield Lane, Sunnyhills",,21,Roysfield Lane,Sunnyhills,2010,Auckland,At Home,Pass,-36.8989335,174.8915528,House,,,,
125,1,"Glenmore Road, Sunnyhills",,125/Unit1,Glenmore Road,Sunnyhills,2010,Auckland,At Home,Pass,-36.8979864,174.8883019,House,,,,
4,,"Essington Place, Half Moon Bay",,4,Essington Place,Half Moon Bay,2012,Auckland,At Home,Pass,-36.8883254,174.8907157,House,,,,
24,,"Curacao Place, Half Moon Bay",,24,Curacao Place,Half Moon Bay,2012,Auckland,At Home,Pass,-36.8919678,174.8926111,House,,,,
17,,"Rohi Place, Flat Bush",,17,Rohi Place,Flat Bush,2016,Auckland,At Home,Pass,-36.970025,174.9226782,House,,,,
13,,"Rohi Place, Flat Bush",,13,Rohi Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9697911,174.922761,House,,,,
21,,"Arranmore Drive, Flat Bush",,21,Arranmore Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.97182007,174.9182466,House,,,,
21,,"Coolaghy Drive, Flat Bush",,21,Coolaghy Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.971542,174.9187925,House,Cantonese,,,
7,,"Creeve Place, Flat Bush",,7,Creeve Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9716545,174.9196673,House,,,,
39,,"Kerrykeel Drive, Flat Bush",,39,Kerrykeel Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9708535,174.9196433,House,,,,
47,,"Kerrykeel Drive, Flat Bush",,47,Kerrykeel Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9709231,174.9200339,House,,,,
39,,"Kerrykeel Drive, Flat Bush",,39,Kerrykeel Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.970992,174.9212033,House,,,,
7,,"Springside Drive, Flat Bush",,7,Springside Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9716168,174.9210506,House,,,,
57,C,"Howard Hunter Avenue, St Johns",,57/UnitC,Howard Hunter Avenue,St Johns,1072,Auckland,At Home,Pass,-36.8792127,174.848223,House,,Chinese Wife maybe,,
68,B,"Merton Road, Glen Innes",,68/UnitB,Merton Road,Glen Innes,1072,Auckland,At Home,Pass,-36.8795708,174.8472944,House,,,,
4,,"Maaka Place, St Johns",,4,Maaka Place,St Johns,1072,Auckland,At Home,Pass,-36.8766405,174.8370895,House,,,,
11,,"Maaka Place, St Johns",,11,Maaka Place,St Johns,1072,Auckland,At Home,Pass,-36.8760177,174.8384768,House,,,,
18,,"Tisdall Crescent, St Johns",,18,Tisdall Crescent,St Johns,1072,Auckland,At Home,Pass,-36.8788968,174.8433952,House,,Corner house - clothing alterations,,
35,,"Robin Brooke Drive, Flat Bush",,35,Robin Brooke Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9710806,174.9006961,House,,,,
23,2,"Swainston Road, St Johns",,23/Unit2,Swainston Road,St Johns,1072,Auckland,At Home,Pass,-36.8775367,174.8437865,House,,,,
22,1,"Penion Drive, Flat Bush",,22/Unit1,Penion Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9744538,174.8972474,House,,,,
68,1,"Howard Hunter Avenue, St Johns",,68/Unit1,Howard Hunter Avenue,St Johns,1072,Auckland,At Home,Pass,-36.8785915,174.8484669,House,,,,
10,,"Jodie Place, Flat Bush",,10,Jodie Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9733095,174.896722,House,,,,
12,,"Jodie Place, Flat Bush",,12,Jodie Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9735257,174.8966455,House,,,,
7,,"Jodie Place, Flat Bush",,7,Jodie Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9730076,174.8964975,House,,,,
1,,"Thorp Street, St Johns",,1,Thorp Street,St Johns,1072,Auckland,At Home,Pass,-36.8776526,174.8416068,House,,,,
1,,"Thorp Street, St Johns",,1,Thorp Street,St Johns,1072,Auckland,At Home,Pass,-36.8776526,174.8416068,House,,,,
1,,"Thorp Street, St Johns",,1,Thorp Street,St Johns,1072,Auckland,At Home,Pass,-36.8776526,174.8416068,House,,,,
25,A,"Paddington Street, Glen Innes",,25/UnitA,Paddington Street,Glen Innes,1072,Auckland,At Home,Pass,-36.8724328,174.8638307,House,,,,
55,,"Wendover Road, Glendowie",,55,Wendover Road,Glendowie,1071,Auckland,At Home,Pass,-36.863875,174.8659992,House,,,,
52,,"Comins Crescent, Kohimarama",,52,Comins Crescent,Kohimarama,1071,Auckland,At Home,Pass,-36.8549663,174.8342539,House,,,,
39,C,"Whytehead Crescent, Saint Heliers",,39/UnitC,Whytehead Crescent,Saint Heliers,1071,Auckland,At Home,Pass,-36.8662987,174.8402745,House,,,,
4,28,"Tripoli Road, Panmure",,4/Unit28,Tripoli Road,Panmure,1072,Auckland,At Home,Pass,-36.9008007,174.8579744,House,,,,
4,9,"Tripoli Road, Panmure",,4/Unit9,Tripoli Road,Panmure,1072,Auckland,At Home,Pass,-36.9008007,174.8579744,House,,,,
4,11,"Tripoli Road, Panmure",,4/Unit11,Tripoli Road,Panmure,1072,Auckland,At Home,Pass,-36.9008007,174.8579744,House,,,,
4,20,"Tripoli Road, Panmure",,4/Unit20,Tripoli Road,Panmure,1072,Auckland,At Home,Pass,-36.9008007,174.8579744,House,,,,
37,A,"Murphys Park Drive, Flat Bush",,37/UnitA,Murphys Park Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9834687,174.9252488,House,,,,
17,,"Fong Road, Flat Bush",,17,Fong Road,Flat Bush,2016,Auckland,At Home,Pass,-36.97098792,174.9244963,House,,,,
10,,"Fong Road, Flat Bush",,10,Fong Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9707765,174.9251364,House,,,,
16,,"Fong Road, Flat Bush",,16,Fong Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9711258,174.9250225,House,In laws chinese,,,
12,,"Hermes Road, Flat Bush",,12,Hermes Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9782833,174.9326593,House,Cantonese,,,
14,,"Hermes Road, Flat Bush",,14,Hermes Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9784015,174.9326259,House,,,,
33,A,"Murphys Park Drive, Flat Bush",,33/UnitA,Murphys Park Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9834393,174.9250612,House,,,,
27,B,"Murphys Park Drive, Flat Bush",,27/UnitB,Murphys Park Drive,Flat Bush,2016,Auckland,At Home,Pass,-36.9833683,174.9244637,House,,,,
14,B,"Treeline Lane, Flat Bush",,14/UnitB,Treeline Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9837215,174.9248753,House,,,,
6,,"Hearth Street, Flat Bush",,6,Hearth Street,Flat Bush,2016,Auckland,At Home,Pass,-36.984221,174.9249571,House,,,,
8,,"Matiki Road, Flat Bush",,8,Matiki Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9782167,174.9335893,House,,,,
6,,"Matiki Road, Flat Bush",,6,Matiki Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9780948,174.9336241,House,,Cambodian but speaks Chinese,,
6,,"Vista Estate Boulevard, Flat Bush",,6,Vista Estate Boulevard,Flat Bush,2016,Auckland,At Home,Pass,-36.9854151,174.9240547,House,,,,
47,,"Hermitage Street, Flat Bush",,47,Hermitage Street,Flat Bush,2016,Auckland,At Home,Pass,-36.9852491,174.9249594,House,,,,
285,,"Flat Bush School Road, Flat Bush",,285,Flat Bush School Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9779317,174.9345342,House,,,,
255,,"Murphys Road, Flat Bush",,255,Murphys Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9700266,174.9243185,House,,,,
208,D,"Murphys Road, Flat Bush",,208/UnitD,Murphys Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9709414,174.9234316,House,,,,
285,,"Flat Bush School Road, Flat Bush",,285,Flat Bush School Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9779317,174.9345342,House,,,,
7,B,"Mcquoids Road, Flat Bush",,7/UnitB,Mcquoids Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9783066,174.9312073,House,,,,
18,A,"Miramar Place, Pakuranga",,18/UnitA,Miramar Place,Pakuranga,2010,Auckland,At Home,Pass,-36.9201044,174.8797609,House,,,,
27,,"Calcite Avenue, Flat Bush",,27,Calcite Avenue,Flat Bush,2016,Auckland,At Home,Pass,-36.9691117,174.9159224,House,,,,
30,,"Calcite Avenue, Flat Bush",,30,Calcite Avenue,Flat Bush,2016,Auckland,At Home,Pass,-36.9688092,174.9163208,House,,,,
40,,"Compass Point Way, Half Moon Bay",,40,Compass Point Way,Half Moon Bay,2012,Auckland,At Home,Pass,-36.8824944,174.8962428,House,,,,
3,,"Takrouna Lane, Panmure",,3,Takrouna Lane,Panmure,1072,Auckland,At Home,Pass,-36.8921305,174.8645838,House,,,,
14,,"Gazala Lane, Panmure",,14,Gazala Lane,Panmure,1072,Auckland,At Home,Pass,-36.8922551,174.8652024,House,,,,
2,C,"Tobruk Road, Panmure",,2/UnitC,Tobruk Road,Panmure,1072,Auckland,At Home,Pass,-36.8911414,174.8641675,House,,,,
61,,"Salford Crescent, Flat Bush",Office,61,Salford Crescent,Flat Bush,2016,Auckland,At Home,Pass,-36.9667102,174.9241304,House,,,,
13,,"Cyperus Street, Flat Bush",,13,Cyperus Street,Flat Bush,2016,Auckland,At Home,Pass,-36.9859341,174.9272531,House,,,,
23,,"Eros Road, Flat Bush",,23,Eros Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9793198,174.9313534,House,,,,
106,,"Mcquoids Road, Flat Bush",,106,Mcquoids Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9815272,174.9308165,House,,,,
108,,"Mcquoids Road, Flat Bush",,108,Mcquoids Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9816564,174.9307917,House,,,,
5,,"Hermitage Street, Flat Bush",,5,Hermitage Street,Flat Bush,2016,Auckland,At Home,Pass,-36.983635,174.9254729,House,,,,
128,,"Mcquoids Road, Flat Bush",,128,Mcquoids Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9828459,174.9304208,House,,,,
122,,"Mcquoids Road, Flat Bush",,122,Mcquoids Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9824884,174.9305311,House,,,,
11,A,"Ascent Street, Flat Bush",,11/UnitA,Ascent Street,Flat Bush,2016,Auckland,At Home,Pass,-36.9844596,174.9267522,House,,,,
16,,"Ascent Street, Flat Bush",,16,Ascent Street,Flat Bush,2016,Auckland,At Home,Pass,-36.9847901,174.9271786,House,,,,
9,,"Amapur Place, Flat Bush",,9,Amapur Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9658112,174.9228985,House,,,,
11,,"Amapur Place, Flat Bush",,11,Amapur Place,Flat Bush,2016,Auckland,At Home,Pass,-36.9659439,174.9227821,House,,,,
1,,"Ascent Street, Flat Bush",,1,Ascent Street,Flat Bush,2016,Auckland,At Home,Pass,-36.9838938,174.9270664,House,,,,
1,,"Treeline Lane, Flat Bush",,1,Treeline Lane,Flat Bush,2016,Auckland,At Home,Pass,-36.9841171,174.9253385,House,,,,
7,,"Black Shed Road, Flat Bush",,7,Black Shed Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9817197,174.9310846,House,,,,
4,,"Black Shed Road, Flat Bush",,4,Black Shed Road,Flat Bush,2016,Auckland,At Home,Pass,-36.9819074,174.9315447,House,,Chinese,,
